SPCE240719C00000500,1.2617516081147948
SPCE240719C00001000,1.0173160173160172
SPCE240719C00001500,0.16542473919523093
SPCE240719C00002000,-0.605704697986577
SPCE240719C00002500,-0.8597194388777555
SPCE240719C00003000,-0.89
GDDY240816C00115000,17.574336209062746
GDDY240816C00160000,11.319020581973032
GDDY240816C00155000,8.993620765508139
GDDY240816C00150000,7.669394559369556
GDDY240816C00135000,6.45964566929134
GDDY240816C00145000,6.149801331338048
GDDY240816C00140000,6.1197744592749235
GDDY240816C00130000,5.53962176969537
GDDY240816C00120000,4.556577501852275
GDDY240816C00125000,4.0492410574679445
